TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
61.350890933,1977.3556779166663,0.38811884,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.371917585,-2.922881398,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
61.524729351,2016.7093993333337,0.089712686,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.071502797,-3.395126055,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
61.691646091,2035.2751104166668,0.033839719,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1012,0.017107147,-3.617914588,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
61.747391913,2039.66915975,0.036846214,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.018923185,-3.67064318,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
61.920362688,2049.7367152499996,0.089017607,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.072307928,-3.791453846,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.007970894,2062.7715330833335,0.020207377,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1016,0.013951676,-3.94787166,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.127022266,2071.41396475,0.035550865,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.018444121,-4.05158084,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.381358136,2082.674415916667,0.154760259,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.054898278,-4.186706254,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.668187408,2098.3474609166665,0.253513324,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.169750999,-4.374782794,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.755290656,2123.627077166667,0.037261719,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.018479999,-4.678138189,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.872778863,2132.149129,0.052485274,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.037955455,-4.780402811,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
62.927545658,2139.3651778333333,0.020658853,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1016,0.014993456,-4.866995397,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
63.132942143,2143.9672812500003,0.170830726,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1013,0.038171454,-4.922220638,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
63.336737358,2163.852296833333,0.136006137,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1012,0.069226648,-5.160840825,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
63.377539908,2176.707175666667,0.022548717,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.016134321,-5.315099371,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,63.937143016,2180.079945166667,26.702637832,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1014,26.617946189,-12.19442041,0.006646316,1.037729401,-14.685767197
64.758102652,56.19488616666667,1.36263883,0,0,1,3,2,2000,0.366553219,2000,0.032512126,1005,0.073202368,993,0.166437346,896,0.406546183,0.016936777,0.006464818,-31.532853534,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,65.426801788,58.613191416666666,1.356998981,0,0,0,2,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,1009,1.037620928,890,0.237469553,0.302528429,-39.325600499,1.037729401,-14.685767197
