Time,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
14,1023,1023,1021,1022,1023,1023,1019,1018,1018,1021
14,1023,1023,1021,1022,1023,1011,1017,1021,1021,1021
24,1023,1023,1022,1023,1023,1011,1017,1021,1021,1021
14,1023,1023,1022,1023,1023,1023,1020,1018,1016,1017
24,1023,1023,1021,1022,1023,1023,1020,1018,1016,1017
24,1023,1023,1023,1023,1023,1023,1020,1018,1016,1017
14,1023,1023,1023,1023,1023,1021,1019,1017,1016,1020
14,1023,1023,1023,1023,1023,1021,1023,1017,1016,1022
24,1023,1023,1023,1022,1022,1021,1023,1017,1016,1022
24,1023,1023,1023,1022,1023,1021,1023,1017,1016,1022
14,1023,1023,1023,1022,1023,1021,1021,1017,1017,1021
14,1023,1023,1023,1022,1023,1021,1023,1018,1017,1018
14,1023,1023,1023,1022,1023,1021,1023,1019,1017,1015
14,1023,1023,1023,1022,1023,1023,1023,1020,1018,1016
24,1023,1023,1023,1022,1022,1023,1023,1020,1018,1016
24,1023,1023,1023,1023,1023,1023,1023,1020,1018,1016
24,1023,1023,1023,1023,1023,1023,1023,1020,1018,1016
14,1023,1023,1023,1023,1023,1017,1021,1019,1017,1016
24,1023,1023,1023,1023,1023,1017,1021,1019,1017,1016
24,1023,1023,1023,1023,1021,1017,1021,1019,1017,1016
24,1023,1023,1023,1023,1021,1017,1021,1019,1017,1016
24,1023,1023,1023,1023,1022,1017,1021,1019,1017,1016
24,1023,1020,1023,1023,1023,1017,1021,1019,1017,1016
14,1023,1020,1023,1023,1023,1023,1023,1023,1018,1018
14,1023,1020,1023,1023,1023,1023,1023,1023,1017,1017
14,1023,1020,1023,1023,1023,1021,1021,1022,1018,1016
14,1023,1020,1023,1023,1023,1021,1021,1022,1019,1018
14,1023,1020,1023,1023,1023,1021,1021,1022,1019,1017
14,1023,1020,1023,1023,1023,1021,1021,1021,1019,1016
24,1023,1023,1023,1023,1022,1021,1021,1021,1019,1016
24,1023,1023,1023,1023,1023,1021,1021,1021,1019,1016
24,1023,1023,1023,1023,1023,1021,1021,1021,1019,1016
14,1023,1023,1023,1023,1023,1023,1023,1023,1023,1017
14,1023,1023,1023,1023,1023,1021,1020,1023,1023,1019
24,1023,1023,1023,1023,1023,1021,1020,1023,1023,1019
14,1023,1023,1023,1023,1023,1014,1022,1020,1022,1019
24,1021,1022,1023,1023,1023,1014,1022,1020,1022,1019
24,1023,1023,1023,1023,1023,1014,1022,1020,1022,1019
14,1023,1023,1023,1023,1023,1021,1021,1021,1022,1019
14,1023,1023,1023,1023,1023,1021,1021,1021,1021,1019
14,1023,1023,1023,1023,1023,1021,1021,1021,1021,1019
14,1023,1023,1023,1023,1023,1021,1021,1023,1023,1023
24,1023,1023,1023,1023,1023,1021,1021,1023,1023,1023
24,1023,1023,1023,1023,1023,1021,1021,1023,1023,1023
24,1023,1022,1023,1023,1023,1021,1021,1023,1023,1023
15,1023,1022,1023,1023,1023,1018,1015,1015,1014,1022
15,1023,1022,1023,1023,1023,1021,1021,1020,1023,1023
24,1023,1023,1023,1023,1023,1021,1021,1020,1023,1023
24,1023,1023,1022,1023,1023,1021,1021,1020,1023,1023
15,1023,1023,1022,1023,1023,1018,1015,1022,1018,1022
15,1023,1023,1022,1023,1023,1021,1021,1020,1023,1022
24,1023,1023,1023,1023,1023,1021,1021,1020,1023,1022
25,1023,1023,1023,1023,1023,1021,1021,1020,1023,1022
25,1023,1023,1023,1023,1023,1021,1021,1020,1023,1022
15,1023,1023,1023,1023,1023,1017,1015,1011,1017,1021
15,1023,1023,1023,1023,1023,1020,1021,1021,1021,1021
25,1023,1023,1023,1023,1023,1020,1021,1021,1021,1021
25,1023,1023,1023,1023,1023,1020,1021,1021,1021,1021
15,1023,1023,1023,1023,1023,1021,1021,1021,1021,1021
15,1023,1023,1023,1023,1023,1021,1021,1021,1021,1021
25,1023,1023,1023,1023,1023,1021,1021,1021,1021,1021
25,1023,1023,1020,1022,1023,1021,1021,1021,1021,1021
15,1023,1023,1020,1022,1023,1017,1021,1021,1021,1021
15,1023,1023,1020,1022,1023,1019,1017,1015,1015,1015
25,1023,1023,1023,1023,1023,1019,1017,1015,1015,1015
15,1023,1023,1023,1023,1023,1020,1022,1021,1021,1023
15,1023,1023,1023,1023,1023,1018,1020,1015,1012,1018
15,1023,1023,1023,1023,1023,1022,1018,1021,1021,1021
25,1023,1023,1022,1023,1023,1022,1018,1021,1021,1021
25,1022,1023,1023,1023,1023,1022,1018,1021,1021,1021
25,1023,1023,1023,1022,1022,1022,1018,1021,1021,1021
25,1022,1023,1023,1023,1023,1022,1018,1021,1021,1021
15,1022,1023,1023,1023,1023,1019,1020,1018,1015,1015
15,1022,1023,1023,1023,1023,1021,1017,1021,1021,1020
25,1023,1023,1023,1021,1022,1021,1017,1021,1021,1020
25,1023,1023,1023,1023,1022,1021,1017,1021,1021,1020
