TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
,,,,,,,,,,,,,,,,,,,,,,,38.10949893,105.7911737,0.266133772,5,2,4,3,1,958,0.0855097,905,0.116403432,905,0.099137319,915,0.116045726,924,0.013391008,0.031930136,3.59E-04,0.650425102,0.698178847,
38.42760397,110.859814,0.251659974,5,3,4,2,1,1003,0.049979568,928,0.133757721,947,0.067409954,930,0.100000248,1004,0.034492843,0.04882888,0.683363749,0.016501817,0.733317625,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38.79135094,122.70589,0.247288033,5,2,3,4,1,967,0.08461722,906,0.133665124,908,0.133331416,914,0.082020556,928,0.064154734,0.030626455,3.34E-04,1.20E-04,0.731173971,
38.94228603,116.4080753,0.04900016,0,0,0,0,1,2000,0.049979568,2000,0.133757721,2000,0.067409954,2000,0.100000248,944,0.031514719,0.04882888,0.683363749,0.016501817,0.733317625,,,,,,,,,,,,,,,,,,,,,,,,
39.15807136,138.4296793,0.198720602,4,1,2,3,0,991,0.084610617,941,0.032410922,949,0.065460752,940,0.047740309,2000,0.031514719,4.77E-04,4.90E-04,0.766553274,0.733317625,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,39.45939023,93.95594333,0.218171209,5,2,3,4,1,953,0.0192504,912,0.085146722,912,0.084848216,914,0.050076465,909,0.016953568,0.050285224,2.99E-04,1.22E-04,0.815605186,
39.60950498,111.581976,0.033540628,0,0,0,0,1,2000,0.084610617,2000,0.032410922,2000,0.065460752,2000,0.047740309,891,0.017587539,4.77E-04,4.90E-04,0.766553274,0.733317625,,,,,,,,,,,,,,,,,,,,,,,,
39.85776734,127.8500327,0.232998634,4,2,3,1,0,984,0.080318007,940,0.08517747,951,0.04975324,944,0.067510872,2000,0.017587539,0.033368766,3.65E-04,0.716251802,0.733317625,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,40.15889177,100.0453093,0.233985954,0,2,3,4,1,2000,0.0192504,913,0.084456367,914,0.084174708,914,0.065655626,982,0.017226695,0.050166795,2.82E-04,1.19E-04,0.815605186,
40.51068548,116.9004477,0.235079383,5,3,4,2,1,981,0.067322566,939,0.099712553,957,0.082778394,945,0.082489599,869,0.032219777,0.051651261,0.68439131,3.18E-04,0.681732061,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,40.85824134,116.6583157,0.232659364,5,3,4,2,1,953,2.09E-07,910,0.097535867,907,0.097252182,914,0.099606402,912,0.033908139,0.033786266,0.701744171,2.84E-04,0.817800125,
41.19370165,110.5540343,0.236458702,5,3,4,2,1,983,0.049553662,955,1.43E-07,951,0.066188376,939,0.068198452,892,0.052975428,0.067819615,0.714517686,2.65E-04,0.715826724,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41.56089138,122.4259053,0.236370388,5,2,3,4,1,948,2.05E-07,913,0.082298776,912,0.082013888,918,0.081891289,904,0.017435662,0.035469533,2.85E-04,1.23E-04,0.813664342,
41.69131055,111.280574,0.032948264,0,0,0,0,1,2000,0.049553662,2000,1.43E-07,2000,0.066188376,2000,0.068198452,934,0.016288491,0.067819615,0.714517686,2.65E-04,0.715826724,,,,,,,,,,,,,,,,,,,,,,,,
41.92585565,133.4022833,0.201128063,3,4,2,1,0,986,0.065793195,957,1.05E-07,950,0.050577843,943,0.067629222,2000,0.016288491,0.017050884,0.733224851,0.084002231,0.715826724,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,42.24317625,94.74845867,0.234202828,0,3,4,2,1,2000,2.05E-07,911,0.068691368,912,0.068100088,920,0.067106222,906,0.033035402,0.049553205,0.713796698,5.92E-04,0.813664342,
42.5941011,111.622436,0.25026083,5,2,4,3,1,984,0.116642141,941,0.049528731,957,0.083840531,935,0.08291031,889,0.047987476,0.065493879,2.85E-04,0.666078298,0.600672487,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,42.92563157,121.4508613,0.217437396,5,2,4,3,1,982,2.95E-07,911,0.101151001,910,0.082221359,915,0.100868034,912,0.016847493,0.016063895,2.84E-04,0.669399888,0.750826177,
43.2749936,105.833767,0.249299393,3,4,5,2,1,980,0.050778682,934,0.083316479,948,0.05011972,934,0.084362883,891,0.034756282,0.049916959,0.716034271,5.54E-04,1.05E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,43.64114546,116.179187,0.266912999,5,2,3,4,1,953,0.016435842,912,0.082767421,910,0.082457003,921,0.067510825,899,0.050703351,0.068140785,3.11E-04,1.27E-04,0.798888274,
44.02771774,122.6093833,0.285658035,3,4,5,2,1,978,0.068176138,935,0.100480245,948,0.067534095,932,0.085468835,903,0.016614343,0.032299665,0.731734135,5.37E-04,1.06E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,44.34367454,122.5333033,0.234012366,5,2,4,3,1,977,0.064623861,909,0.118786555,909,0.101353178,914,0.08339445,905,1.13E-07,0.017061437,2.83E-04,0.701471734,0.751767356,
44.69523616,105.8069743,0.268153494,4,2,5,3,1,984,0.115400515,935,0.132853775,951,0.115074409,939,0.065288411,911,0.049604857,0.066131742,3.11E-04,0.703319922,3.27E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45.02737644,116.5606503,0.250613189,0,2,3,4,1,2000,0.064623861,919,0.099966259,919,0.099519844,916,0.09934679,941,0.0330642,0.048751172,4.47E-04,1.74E-04,0.751767356,
45.41245337,111.5514913,0.301036352,3,4,5,2,1,983,2.56E-07,935,0.035506832,957,5.40E-08,950,0.097116325,911,0.048834531,0.067409481,0.782053247,3.40E-04,7.19E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45.72728216,121.837971,0.250349919,5,2,3,4,1,976,1.76E-07,910,0.083989213,911,0.083610949,925,0.083504546,982,0.032340783,0.04969627,3.79E-04,1.07E-04,0.850642629,
46.06053665,111.6340643,0.248703494,4,3,5,2,1,981,0.049651448,938,0.098605464,949,0.031464925,941,0.067630288,936,0.048889095,0.048778715,0.699250972,0.651765442,5.58E-04,,,,,,,,,,,,,,,,,,,,,,,,
